time,open,high,low,close,tick_volume,spread,real_volume
2026-04-01 11:15:00,4719.24,4735.79,4717.08,4730.69,4840,4,0
2026-04-01 11:30:00,4730.69,4740.55,4726.32,4731.96,4772,4,0
2026-04-01 11:45:00,4731.96,4732.5,4726.54,4728.64,4004,4,0
2026-04-01 12:00:00,4728.64,4730.24,4717.86,4718.21,4085,4,0
2026-04-01 12:15:00,4718.21,4723.95,4713.92,4719.41,4081,4,0
2026-04-01 12:30:00,4719.41,4722.82,4713.26,4719.09,4668,4,0
2026-04-01 12:45:00,4719.2,4727.75,4719.15,4723.16,4424,4,0
2026-04-01 13:00:00,4723.18,4724.41,4715.47,4715.62,3641,4,0
2026-04-01 13:15:00,4715.62,4729.27,4715.01,4728.29,3812,4,0
2026-04-01 13:30:00,4728.29,4736.24,4726.17,4734.97,3695,4,0
2026-04-01 13:45:00,4734.97,4738.85,4728.12,4731.39,3750,4,0
2026-04-01 14:00:00,4731.39,4740.52,4728.17,4736.84,4265,4,0
2026-04-01 14:15:00,4736.84,4746.35,4736.59,4745.13,3754,4,0
2026-04-01 14:30:00,4745.13,4763.05,4744.84,4760.57,5150,4,0
2026-04-01 14:45:00,4760.57,4761.4,4752.44,4752.44,4984,4,0
2026-04-01 15:00:00,4752.44,4753.69,4739.41,4743.47,4461,4,0
2026-04-01 15:15:00,4743.47,4745.41,4724.5,4735.99,5830,4,0
2026-04-01 15:30:00,4735.99,4753.62,4732.35,4748.18,5538,4,0
2026-04-01 15:45:00,4748.18,4753.71,4724.39,4724.78,8680,4,0
2026-04-01 16:00:00,4724.78,4733.65,4716.2,4731.64,7684,4,0
2026-04-01 16:15:00,4731.64,4742.42,4730.82,4736.2,6014,4,0
2026-04-01 16:30:00,4736.2,4749.58,4730.71,4743.41,8274,4,0
2026-04-01 16:45:00,4743.41,4748.52,4733.96,4738.19,7206,4,0
2026-04-01 17:00:00,4738.19,4746.96,4724.25,4744.52,7944,4,0
2026-04-01 17:15:00,4744.52,4754.87,4730.53,4742.14,7334,4,0
2026-04-01 17:30:00,4742.14,4756.6,4734.88,4754.13,7535,4,0
2026-04-01 17:45:00,4754.05,4768.82,4752.59,4760.76,7402,4,0
2026-04-01 18:00:00,4760.76,4774.96,4758.34,4764.77,6875,4,0
2026-04-01 18:15:00,4764.77,4776.43,4762.39,4772.94,7058,4,0
2026-04-01 18:30:00,4772.94,4786.75,4769.9,4785.6,7312,4,0
2026-04-01 18:45:00,4785.6,4788.25,4782.49,4786.57,5475,4,0
2026-04-01 19:00:00,4786.57,4790.69,4774.41,4775.03,5629,4,0
2026-04-01 19:15:00,4775.03,4783.53,4774.69,4776.71,5061,4,0
2026-04-01 19:30:00,4776.71,4784.9,4775.34,4784.34,4538,4,0
2026-04-01 19:45:00,4784.34,4788.6,4781.87,4787.31,3749,4,0
2026-04-01 20:00:00,4787.31,4793.08,4786.38,4788.53,4410,4,0
2026-04-01 20:15:00,4788.53,4789.61,4782.39,4784.97,4745,4,0
2026-04-01 20:30:00,4785.09,4786.05,4775.7,4781.94,4535,4,0
2026-04-01 20:45:00,4781.94,4783.35,4773.63,4774.3,4094,4,0
2026-04-01 21:00:00,4774.3,4775.25,4759.75,4771.09,6699,4,0
2026-04-01 21:15:00,4771.09,4771.72,4753.19,4754.0,6756,4,0
2026-04-01 21:30:00,4754.0,4766.16,4742.14,4756.56,7151,4,0
2026-04-01 21:45:00,4756.57,4758.44,4751.63,4753.08,5946,4,0
2026-04-01 22:00:00,4753.08,4765.15,4751.17,4759.72,6045,4,0
2026-04-01 22:15:00,4759.72,4769.08,4758.61,4765.65,4610,4,0
2026-04-01 22:30:00,4765.65,4778.27,4763.2,4769.4,4682,4,0
2026-04-01 22:45:00,4769.3,4772.09,4758.24,4766.16,5765,4,0
2026-04-02 01:00:00,4757.32,4763.8,4748.72,4759.56,1263,4,0
2026-04-02 01:15:00,4759.23,4774.68,4756.43,4772.78,2226,4,0
2026-04-02 01:30:00,4772.78,4781.37,4771.14,4776.24,2415,4,0
